Created on 08-12-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume BTC
2020-08-12,LTCBTC,0.004751,0.004764,0.004619,0.004701,48412.51,227.88
2020-08-11,LTCBTC,0.004903,0.005024,0.004706,0.004751,213834.83,1038.35
2020-08-10,LTCBTC,0.004877,0.004988,0.004817,0.004903,263672.02,1287.4
2020-08-09,LTCBTC,0.00497,0.004977,0.004844,0.004877,88564.92,435.11
2020-08-08,LTCBTC,0.004931,0.004971,0.004887,0.00497,91162.83,449.68
2020-08-07,LTCBTC,0.00502,0.00516,0.004783,0.004931,245895.02,1229.95
2020-08-06,LTCBTC,0.005013,0.005123,0.004954,0.00502,186668.47,938.9
2020-08-05,LTCBTC,0.00515,0.005192,0.004974,0.005013,194074.73,988.69
2020-08-04,LTCBTC,0.005212,0.005233,0.005092,0.00515,187870.24,969.03
2020-08-03,LTCBTC,0.005128,0.005238,0.005078,0.005212,237193.01,1227.9
2020-08-02,LTCBTC,0.005225,0.005443,0.004867,0.005128,623529.34,3218.63
2020-08-01,LTCBTC,0.005128,0.005308,0.005034,0.005225,369270.85,1914.06
2020-07-31,LTCBTC,0.005111,0.00525,0.005054,0.005128,210970.47,1082.93
2020-07-30,LTCBTC,0.00497,0.00532,0.004922,0.005111,365066.83,1870.84
2020-07-29,LTCBTC,0.005111,0.005154,0.004926,0.00497,263146.85,1324.5
2020-07-28,LTCBTC,0.004831,0.005252,0.004792,0.005111,553174.11,2776.02
2020-07-27,LTCBTC,0.004841,0.005063,0.004454,0.004831,563161.65,2703.22
2020-07-26,LTCBTC,0.005068,0.005207,0.004792,0.004841,356124.42,1771.1
2020-07-25,LTCBTC,0.004626,0.0051,0.004618,0.005068,415434.71,2050.53
2020-07-24,LTCBTC,0.00468,0.004695,0.004623,0.004626,135673.33,631.63
2020-07-23,LTCBTC,0.004724,0.004792,0.00467,0.00468,155506.22,735.07
2020-07-22,LTCBTC,0.004663,0.004742,0.004635,0.004724,126215.13,590.17
2020-07-21,LTCBTC,0.00458,0.004715,0.004573,0.004663,111324.08,518.6
2020-07-20,LTCBTC,0.00463,0.004649,0.00452,0.00458,81481.87,375.28
2020-07-19,LTCBTC,0.004631,0.004651,0.004589,0.00463,59942.95,276.99
2020-07-18,LTCBTC,0.004577,0.004671,0.00457,0.004631,71761.3,331.68
2020-07-17,LTCBTC,0.004609,0.004627,0.00457,0.004577,79935.15,367.41
2020-07-16,LTCBTC,0.004711,0.004714,0.004502,0.004609,131605.81,606.18
2020-07-15,LTCBTC,0.004741,0.004752,0.004668,0.004711,67681.14,318.42
2020-07-14,LTCBTC,0.004753,0.004762,0.004672,0.004741,95425.65,450.96
2020-07-13,LTCBTC,0.004807,0.0049,0.004622,0.004753,183509.9,880.77
2020-07-12,LTCBTC,0.004839,0.004875,0.004756,0.004807,104314.24,502.98
2020-07-11,LTCBTC,0.00477,0.004847,0.004766,0.004839,64146.79,307.77
2020-07-10,LTCBTC,0.004804,0.004852,0.004761,0.00477,100169.82,480.59
2020-07-09,LTCBTC,0.004807,0.004869,0.004736,0.004804,141291.41,678.92
2020-07-08,LTCBTC,0.004688,0.00488,0.004667,0.004807,177131.11,850.54
2020-07-07,LTCBTC,0.004716,0.004746,0.004663,0.004688,84998.47,399.9
2020-07-06,LTCBTC,0.004584,0.00473,0.004579,0.004716,105331.81,490.08
